arrival_city,date,people,num_people
Amsterdam,2024-01-19,"['Monica Osborn', 'Zane Osborne']",2
Amsterdam,2024-01-20,"['Monica Osborn', 'Zane Osborne']",2
Amsterdam,2024-01-21,"['Monica Osborn', 'Zane Osborne']",2
Amsterdam,2024-01-22,"['Monica Osborn', 'Zane Osborne']",2
Amsterdam,2024-01-23,"['Monica Osborn', 'Zane Osborne']",2
Amsterdam,2024-01-25,"['Monica Osborn', 'Nicholas Blake']",2
Amsterdam,2024-01-26,"['Monica Osborn', 'Nicholas Blake']",2
Amsterdam,2024-01-27,"['Collin Garrison', 'Monica Osborn', 'Nicholas Blake']",3
Amsterdam,2024-01-28,"['Collin Garrison', 'Monica Osborn', 'Nicholas Blake']",3
Amsterdam,2024-01-29,"['Collin Garrison', 'Monica Osborn', 'Nicholas Blake']",3
Amsterdam,2024-01-30,"['Collin Garrison', 'Monica Osborn', 'Nicholas Blake']",3
Amsterdam,2024-01-31,"['Collin Garrison', 'Nicholas Blake']",2
Amsterdam,2024-02-01,"['Collin Garrison', 'Nicholas Blake']",2
Amsterdam,2024-02-02,"['Collin Garrison', 'Corbin Vance', 'Nicholas Blake']",3
Amsterdam,2024-02-03,"['Collin Garrison', 'Corbin Vance']",2
Amsterdam,2024-02-04,"['Collin Garrison', 'Corbin Vance']",2
Amsterdam,2024-02-06,"['Corbin Vance', 'Michaela Ramirez']",2
Amsterdam,2024-02-07,"['Corbin Vance', 'Michaela Ramirez']",2
Amsterdam,2024-02-08,"['Corbin Vance', 'Michaela Ramirez']",2
Amsterdam,2024-02-09,"['Corbin Vance', 'Michaela Ramirez']",2
Amsterdam,2024-02-10,"['Corbin Vance', 'Michaela Ramirez']",2
Amsterdam,2024-02-11,"['Corbin Vance', 'Giovanna Jennings']",2
Amsterdam,2024-02-12,"['Corbin Vance', 'Giovanna Jennings']",2
Amsterdam,2024-02-18,"['Giovanna Jennings', 'Yamilet Barnett']",2
Amsterdam,2024-02-28,"['Tyrese Wilkinson', 'Yamilet Barnett']",2
Amsterdam,2024-02-29,"['Tyrese Wilkinson', 'Yamilet Barnett']",2
Amsterdam,2024-03-17,"['Franklin Hancock', 'Jaliyah Riley']",2
Amsterdam,2024-03-23,"['Jefferson Golden', 'Tiffany Ford']",2
Amsterdam,2024-03-24,"['Jefferson Golden', 'Tiffany Ford']",2
Amsterdam,2024-03-25,"['Jefferson Golden', 'Nola Jimenez', 'Tiffany Ford']",3
Amsterdam,2024-03-26,"['Jefferson Golden', 'Nola Jimenez', 'Tiffany Ford']",3
Amsterdam,2024-03-27,"['Jefferson Golden', 'Nola Jimenez', 'Shania Blanchard', 'Tiffany Ford']",4
Amsterdam,2024-03-28,"['Jefferson Golden', 'Nola Jimenez', 'Shania Blanchard', 'Tiffany Ford']",4
Amsterdam,2024-03-29,"['Jefferson Golden', 'Shania Blanchard', 'Tiffany Ford']",3
Amsterdam,2024-03-30,"['Jefferson Golden', 'Shania Blanchard', 'Tiffany Ford']",3
Amsterdam,2024-03-31,"['Jefferson Golden', 'Shania Blanchard', 'Tiffany Ford']",3
Amsterdam,2024-04-01,"['Shania Blanchard', 'Tiffany Ford']",2
Amsterdam,2024-04-02,"['Shania Blanchard', 'Tiffany Ford']",2
Amsterdam,2024-04-03,"['Shania Blanchard', 'Tiffany Ford']",2
Amsterdam,2024-04-12,"['Cordell Kramer', 'Jenna Garcia']",2
Amsterdam,2024-04-13,"['Cordell Kramer', 'Jenna Garcia']",2
Amsterdam,2024-04-14,"['Cordell Kramer', 'Jenna Garcia']",2
Amsterdam,2024-04-15,"['Cordell Kramer', 'Jenna Garcia']",2
Amsterdam,2024-04-16,"['Camren Soto', 'Cordell Kramer', 'Jenna Garcia']",3
Amsterdam,2024-04-17,"['Camren Soto', 'Cordell Kramer', 'Jenna Garcia']",3
Amsterdam,2024-04-18,"['Camren Soto', 'Cordell Kramer', 'Jenna Garcia']",3
Amsterdam,2024-04-19,"['Camren Soto', 'Cordell Kramer', 'Helen Dyer', 'Jenna Garcia']",4
Amsterdam,2024-04-20,"['Camren Soto', 'Cordell Kramer', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-21,"['Camren Soto', 'Cordell Kramer', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-22,"['Camren Soto', 'Cordell Kramer', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-23,"['Camren Soto', 'Cordell Kramer', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-24,"['Camren Soto', 'Essence Ray', 'Helen Dyer']",3
Amsterdam,2024-04-25,"['Alec Melton', 'Camren Soto', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-26,"['Alec Melton', 'Camren Soto', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-27,"['Alec Melton', 'Camren Soto', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-28,"['Alec Melton', 'Camren Soto', 'Essence Ray', 'Helen Dyer']",4
Amsterdam,2024-04-29,"['Alec Melton', 'Camren Soto']",2
Amsterdam,2024-04-30,"['Alec Melton', 'Camren Soto']",2
Amsterdam,2024-05-02,"['Alec Melton', 'Hadassah Austin']",2
Amsterdam,2024-05-03,"['Alec Melton', 'Brett Warner', 'Hadassah Austin']",3
Amsterdam,2024-05-04,"['Alec Melton', 'Brett Warner', 'Hadassah Austin']",3
Amsterdam,2024-05-05,"['Alec Melton', 'Brett Warner', 'Hadassah Austin']",3
Amsterdam,2024-05-06,"['Alec Melton', 'Brett Warner', 'Hadassah Austin', 'Sierra Delgado']",4
Amsterdam,2024-05-07,"['Alec Melton', 'Brett Warner', 'Hadassah Austin', 'Sierra Delgado']",4
Amsterdam,2024-05-08,"['Alec Melton', 'Brett Warner', 'Sierra Delgado']",3
Amsterdam,2024-05-09,"['Alec Melton', 'Brett Warner', 'Sierra Delgado']",3
Amsterdam,2024-05-10,"['Brett Warner', 'Sierra Delgado']",2
Amsterdam,2024-05-11,"['Brett Warner', 'Sierra Delgado']",2
Amsterdam,2024-05-12,"['Brett Warner', 'Sierra Delgado']",2
Amsterdam,2024-05-13,"['Brett Warner', 'Sierra Delgado']",2
Amsterdam,2024-05-14,"['Brett Warner', 'Sierra Delgado']",2
Amsterdam,2024-05-15,"['Brett Warner', 'Sierra Delgado']",2
Amsterdam,2024-05-18,"['Reese Baker', 'Sierra Delgado']",2
Amsterdam,2024-05-19,"['Aiden Forbes', 'Reese Baker', 'Sierra Delgado']",3
Amsterdam,2024-05-20,"['Aiden Forbes', 'Reese Baker', 'Sierra Delgado']",3
Amsterdam,2024-05-21,"['Aiden Forbes', 'Reese Baker']",2
Amsterdam,2024-05-22,"['Aiden Forbes', 'Reese Baker']",2
Amsterdam,2024-05-23,"['Aiden Forbes', 'Reese Baker']",2
Amsterdam,2024-05-24,"['Aiden Forbes', 'Reese Baker']",2
Amsterdam,2024-05-28,"['Aiden Forbes', 'Alexia Stark', 'Jasiah Wilcox']",3
Amsterdam,2024-05-29,"['Aiden Forbes', 'Alexia Stark', 'Jasiah Wilcox']",3
Amsterdam,2024-05-30,"['Aiden Forbes', 'Alexia Stark', 'Jasiah Wilcox']",3
Amsterdam,2024-05-31,"['Aiden Forbes', 'Alexia Stark', 'Jasiah Wilcox']",3
Amsterdam,2024-06-01,"['Alexia Stark', 'Jasiah Wilcox']",2
Amsterdam,2024-06-02,"['Alexia Stark', 'Jasiah Wilcox']",2
Amsterdam,2024-06-03,"['Alexia Stark', 'Jasiah Wilcox']",2
Amsterdam,2024-06-04,"['Alexia Stark', 'Jasiah Wilcox']",2
Amsterdam,2024-06-05,"['Alexia Stark', 'Jasiah Wilcox']",2
Amsterdam,2024-06-06,"['Alexia Stark', 'Jasiah Wilcox']",2
Amsterdam,2024-06-07,"['Alexia Stark', 'Henry Wiggins', 'Jasiah Wilcox']",3
Amsterdam,2024-06-08,"['Alexia Stark', 'Henry Wiggins', 'Jasiah Wilcox']",3
Amsterdam,2024-06-09,"['Henry Wiggins', 'Jasiah Wilcox']",2
Amsterdam,2024-06-10,"['Henry Wiggins', 'Porter Woodard']",2
Amsterdam,2024-06-11,"['Henry Wiggins', 'Porter Woodard']",2
Amsterdam,2024-06-12,"['Henry Wiggins', 'Porter Woodard']",2
Amsterdam,2024-06-13,"['Henry Wiggins', 'Laura Frazier', 'Porter Woodard']",3
Amsterdam,2024-06-14,"['Henry Wiggins', 'Laura Frazier', 'Porter Woodard']",3
Amsterdam,2024-06-15,"['Henry Wiggins', 'Laura Frazier', 'Porter Woodard']",3
Amsterdam,2024-06-16,"['Henry Wiggins', 'Laura Frazier', 'Porter Woodard']",3
Amsterdam,2024-06-17,"['Henry Wiggins', 'Laura Frazier', 'Porter Woodard']",3
Amsterdam,2024-06-18,"['Henry Wiggins', 'Laura Frazier', 'Porter Woodard']",3
Amsterdam,2024-06-19,"['Laura Frazier', 'Libby Hayden', 'Porter Woodard']",3
Amsterdam,2024-06-20,"['Justice Vargas', 'Libby Hayden', 'Porter Woodard']",3
Amsterdam,2024-06-21,"['Justice Vargas', 'Libby Hayden', 'Porter Woodard']",3
Amsterdam,2024-06-22,"['Justice Vargas', 'Libby Hayden', 'Porter Woodard']",3
Amsterdam,2024-06-23,"['Justice Vargas', 'Libby Hayden']",2
Amsterdam,2024-06-24,"['Justice Vargas', 'Libby Hayden']",2
Amsterdam,2024-06-25,"['Justice Vargas', 'Libby Hayden']",2
Amsterdam,2024-07-07,"['Giovanna Nielsen', 'Madilynn Bonilla']",2
Amsterdam,2024-07-08,"['Giovanna Nielsen', 'Madilynn Bonilla']",2
Amsterdam,2024-07-09,"['Giovanna Nielsen', 'Madilynn Bonilla']",2
Amsterdam,2024-07-10,"['Giovanna Nielsen', 'Madilynn Bonilla']",2
Amsterdam,2024-07-11,"['Giovanna Nielsen', 'Madilynn Bonilla']",2
Amsterdam,2024-07-12,"['Giovanna Nielsen', 'Madilynn Bonilla', 'Shelby Saunders']",3
Amsterdam,2024-07-13,"['Giovanna Nielsen', 'Madilynn Bonilla', 'Shelby Saunders']",3
Amsterdam,2024-07-14,"['Giovanna Nielsen', 'Madilynn Bonilla', 'Shelby Saunders']",3
Amsterdam,2024-07-15,"['Giovanna Nielsen', 'Milagros Pearson', 'Shelby Saunders']",3
Amsterdam,2024-07-16,"['Giovanna Nielsen', 'Milagros Pearson', 'Shelby Saunders']",3
Amsterdam,2024-07-17,"['Giovanna Nielsen', 'Milagros Pearson', 'Shelby Saunders']",3
Amsterdam,2024-07-18,"['Giovanna Nielsen', 'Milagros Pearson', 'Shelby Saunders']",3
Amsterdam,2024-07-19,"['Giovanna Nielsen', 'Milagros Pearson']",2
Amsterdam,2024-07-20,"['Giovanna Nielsen', 'Milagros Pearson']",2
Amsterdam,2024-07-21,"['Giovanna Nielsen', 'Milagros Pearson']",2
Amsterdam,2024-08-02,"['Jair Gamble', 'Kian Spears']",2
Amsterdam,2024-08-03,"['Jair Gamble', 'Kian Spears', 'Mitchell Durham']",3
Amsterdam,2024-08-04,"['Jair Gamble', 'Kian Spears', 'Mitchell Durham']",3
Amsterdam,2024-08-05,"['Kian Spears', 'Mitchell Durham']",2
Amsterdam,2024-08-06,"['Kian Spears', 'Mitchell Durham']",2
Amsterdam,2024-08-07,"['Kian Spears', 'Mitchell Durham']",2
Amsterdam,2024-08-08,"['Kian Spears', 'Mitchell Durham']",2
Amsterdam,2024-08-09,"['Kian Spears', 'Mitchell Durham']",2
Amsterdam,2024-08-23,"['Gillian Duncan', 'Karla Lester']",2
Amsterdam,2024-08-24,"['Gillian Duncan', 'Karla Lester']",2
Amsterdam,2024-08-25,"['Autumn Hubbard', 'Gillian Duncan', 'Karla Lester']",3
Amsterdam,2024-08-26,"['Autumn Hubbard', 'Gillian Duncan', 'Karla Lester']",3
Amsterdam,2024-08-27,"['Autumn Hubbard', 'Gillian Duncan']",2
Amsterdam,2024-08-28,"['Autumn Hubbard', 'Gillian Duncan']",2
Amsterdam,2024-08-29,"['Autumn Hubbard', 'Gillian Duncan', 'Mohamed Owens']",3
Amsterdam,2024-08-30,"['Alan Whitaker', 'Autumn Hubbard', 'Gillian Duncan', 'Mohamed Owens']",4
Amsterdam,2024-08-31,"['Alan Whitaker', 'Autumn Hubbard', 'Gillian Duncan', 'Lukas Schmidt', 'Mohamed Owens']",5
Amsterdam,2024-09-01,"['Alan Whitaker', 'Lukas Schmidt', 'Mohamed Owens']",3
Amsterdam,2024-09-02,"['Alan Whitaker', 'Lukas Schmidt', 'Mohamed Owens']",3
Amsterdam,2024-09-03,"['Lukas Schmidt', 'Mohamed Owens']",2
Amsterdam,2024-09-04,"['Lukas Schmidt', 'Mohamed Owens']",2
Amsterdam,2024-09-05,"['Lukas Schmidt', 'Mohamed Owens']",2
Amsterdam,2024-09-06,"['Lukas Schmidt', 'Mohamed Owens']",2
Amsterdam,2024-09-07,"['Lukas Schmidt', 'Mohamed Owens']",2
Amsterdam,2024-10-05,"['Aleah Harvey', 'Garrett Perez']",2
Amsterdam,2024-10-06,"['Aleah Harvey', 'Garrett Perez']",2
Amsterdam,2024-10-07,"['Aleah Harvey', 'Garrett Perez']",2
Amsterdam,2024-10-08,"['Aleah Harvey', 'Garrett Perez']",2
Amsterdam,2024-10-09,"['Aleah Harvey', 'Garrett Perez']",2
Amsterdam,2024-11-07,"['Abbigail Knapp', 'Landen Cobb']",2
Amsterdam,2024-11-08,"['Abbigail Knapp', 'Landen Cobb']",2
Amsterdam,2024-11-09,"['Abbigail Knapp', 'Landen Cobb']",2
Amsterdam,2024-11-10,"['Abbigail Knapp', 'Landen Cobb']",2
Amsterdam,2024-11-16,"['Beckett Zuniga', 'Landen Cobb']",2
Amsterdam,2024-11-17,"['Beckett Zuniga', 'Landen Cobb']",2
Amsterdam,2024-11-18,"['Beckett Zuniga', 'Landen Cobb']",2
Amsterdam,2024-11-19,"['Beckett Zuniga', 'Landen Cobb']",2
Amsterdam,2024-12-29,"['Giuliana Fields', 'Nathen Bean']",2
Amsterdam,2024-12-30,"['Giuliana Fields', 'Nathen Bean']",2
Amsterdam,2024-12-31,"['Giuliana Fields', 'Nathen Bean']",2
Amsterdam,2025-01-01,"['Giuliana Fields', 'Nathen Bean']",2
Amsterdam,2025-01-02,"['Giuliana Fields', 'Nathen Bean']",2
Amsterdam,2025-01-03,"['Giuliana Fields', 'Nathen Bean']",2
Barcelona,2024-01-03,"['Jaida Riley', 'Jorge Franklin']",2
Barcelona,2024-01-04,"['Jaida Riley', 'Jorge Franklin']",2
Barcelona,2024-01-05,"['Jaida Riley', 'Jorge Franklin', 'Kenley Carter']",3
Barcelona,2024-01-06,"['Antonio Jefferson', 'Jaida Riley', 'Jorge Franklin', 'Kenley Carter', 'Tristen Delacruz']",5
Barcelona,2024-01-07,"['Antonio Jefferson', 'Jaida Riley', 'Jorge Franklin', 'Kenley Carter', 'Sheldon Buckley', 'Tristen Delacruz']",6
Barcelona,2024-01-08,"['Antonio Jefferson', 'Aria Kelley', 'Jaida Riley', 'Jorge Franklin', 'Kenley Carter', 'Levi Underwood', 'Sheldon Buckley', 'Tristen Delacruz']",8
Barcelona,2024-01-09,"['Antonio Jefferson', 'Aria Kelley', 'Jaida Riley', 'Jorge Franklin', 'Kenley Carter', 'Levi Underwood', 'Sheldon Buckley', 'Tristen Delacruz']",8
Barcelona,2024-01-10,"['Antonio Jefferson', 'Aria Kelley', 'Kenley Carter', 'Levi Underwood', 'Sheldon Buckley', 'Tristen Delacruz']",6
Barcelona,2024-01-11,"['Antonio Jefferson', 'Aria Kelley', 'Jamarion Cantu', 'Kenley Carter', 'Levi Underwood', 'Sheldon Buckley', 'Tristen Delacruz']",7
Barcelona,2024-01-12,"['Antonio Jefferson', 'Aria Kelley', 'Jamarion Cantu', 'Kenley Carter', 'Levi Underwood', 'Sheldon Buckley', 'Tristen Delacruz']",7
Barcelona,2024-01-13,"['Aedan Hartman', 'Aria Kelley', 'Jamarion Cantu', 'Kenley Carter', 'Levi Underwood', 'Sheldon Buckley', 'Tristen Delacruz']",7
Barcelona,2024-01-14,"['Aedan Hartman', 'Aria Kelley', 'Jamarion Cantu', 'Kenley Carter', 'Levi Underwood', 'Sheldon Buckley', 'Tristen Delacruz']",7
Barcelona,2024-01-15,"['Aedan Hartman', 'Aria Kelley', 'Jamarion Cantu', 'Scarlett Mclean', 'Sheldon Buckley']",5
Barcelona,2024-01-16,"['Aedan Hartman', 'Aria Kelley', 'Hugh White', 'Jamarion Cantu', 'Katelynn Jenkins', 'Scarlett Mclean']",6
Barcelona,2024-01-17,"['Aedan Hartman', 'Hugh White', 'Jamarion Cantu', 'Katelynn Jenkins', 'Scarlett Mclean']",5
Barcelona,2024-01-18,"['Aedan Hartman', 'Darwin Everett', 'Eduardo Barker', 'Hugh White', 'Jamarion Cantu', 'Katelynn Jenkins', 'Litzy Bird', 'Scarlett Mclean']",8
Barcelona,2024-01-19,"['Aedan Hartman', 'Darwin Everett', 'Eduardo Barker', 'Hugh White', 'Jamarion Cantu', 'Katelynn Jenkins', 'Litzy Bird', 'Scarlett Mclean']",8
Barcelona,2024-01-20,"['Aedan Hartman', 'Darwin Everett', 'Eduardo Barker', 'Hugh White', 'Jamarion Cantu', 'Katelynn Jenkins', 'Litzy Bird', 'Scarlett Mclean']",8
Barcelona,2024-01-21,"['Aedan Hartman', 'Darwin Everett', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Katelynn Jenkins', 'Litzy Bird', 'Margaret Conway']",8
Barcelona,2024-01-22,"['Brent Mills', 'Darwin Everett', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Katelynn Jenkins', 'Litzy Bird', 'Margaret Conway']",8
Barcelona,2024-01-23,"['Brent Mills', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Katelynn Jenkins', 'Litzy Bird', 'Margaret Conway']",7
Barcelona,2024-01-24,"['Brent Mills', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Katelynn Jenkins', 'Litzy Bird', 'Margaret Conway']",7
Barcelona,2024-01-25,"['Brent Mills', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Johnathan Burch', 'Katelynn Jenkins', 'Litzy Bird', 'Mara Bernard', 'Margaret Conway']",9
Barcelona,2024-01-26,"['Brent Mills', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Johnathan Burch', 'Litzy Bird', 'Mara Bernard', 'Margaret Conway']",8
Barcelona,2024-01-27,"['Alyson Wilcox', 'Brent Mills', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Johnathan Burch', 'Litzy Bird', 'Mara Bernard', 'Margaret Conway']",9
Barcelona,2024-01-28,"['Alyson Wilcox', 'Brent Mills', 'Eduardo Barker', 'Howard Stark', 'Hugh White', 'Johnathan Burch', 'Litzy Bird', 'Mara Bernard']",8
Barcelona,2024-01-29,"['Alyson Wilcox', 'Brent Mills', 'Eduardo Barker', 'Hugh White', 'Johnathan Burch', 'Litzy Bird', 'Mara Bernard']",7
Barcelona,2024-01-30,"['Alyson Wilcox', 'Eduardo Barker', 'Hugh White', 'Johnathan Burch', 'Litzy Bird', 'Mara Bernard']",6
Barcelona,2024-01-31,"['Alyson Wilcox', 'Eduardo Barker', 'Johnathan Burch', 'Litzy Bird', 'Mara Bernard']",5
Barcelona,2024-02-01,"['Gillian Khan', 'Johnathan Burch', 'Mara Bernard', 'Paityn White']",4
Barcelona,2024-02-02,"['Gillian Khan', 'Johnathan Burch', 'Paityn White']",3
Barcelona,2024-02-03,"['Gillian Khan', 'Johnathan Burch', 'Paityn White']",3
Barcelona,2024-02-04,"['Angel Hodge', 'Gillian Khan', 'Johnathan Burch', 'Paityn White']",4
Barcelona,2024-02-05,"['Angel Hodge', 'Emiliano Wiley', 'Gillian Khan', 'Johnathan Burch', 'Paityn White']",5
Barcelona,2024-02-06,"['Angel Hodge', 'Emiliano Wiley', 'Gillian Khan', 'Johnathan Burch', 'Paityn White']",5
Barcelona,2024-02-07,"['Angel Hodge', 'Emiliano Wiley', 'Gillian Khan', 'Johnathan Burch', 'Paityn White']",5
Barcelona,2024-02-08,"['Alexis Hernandez', 'Angel Hodge', 'Chasity Brennan', 'Emiliano Wiley', 'Gillian Khan', 'Jamir Davenport']",6
Barcelona,2024-02-09,"['Alexis Hernandez', 'Angel Hodge', 'Chasity Brennan', 'Emiliano Wiley', 'Gillian Khan', 'Jamir Davenport']",6
Barcelona,2024-02-10,"['Alexis Hernandez', 'Angel Hodge', 'Arjun Crosby', 'Chasity Brennan', 'Emiliano Wiley', 'Gillian Khan', 'Jamir Davenport']",7
Barcelona,2024-02-11,"['Alexis Hernandez', 'Angel Hodge', 'Arjun Crosby', 'Chasity Brennan', 'Cruz Ellison', 'Emiliano Wiley', 'Gillian Khan', 'Jamir Davenport']",8
Barcelona,2024-02-12,"['Alexis Hernandez', 'Angel Hodge', 'Arjun Crosby', 'Chanel Barajas', 'Chasity Brennan', 'Cruz Ellison', 'Emiliano Wiley', 'Gillian Khan', 'Jamir Davenport']",9
